,Unnamed: 0,end_date,start_date,subtitle,supporters,text,title,page,day,start_month,year,month,end_month,running_days,text_length
0,0,,2018-01-26,"Folketinget pålægger Uddannelses- og forskningsministeren at afskaffe begrænsning af dobbeltuddannelse, som indført i L69, lov om ændring af lov om adgangsregulering ved videregående uddannelser (begrænsning af dobbeltuddannelse) – eller bedre kendt som uddannelsesloftet.",53806,"Folketinget pålægger Uddannelses- og forskningsministeren at afskaffe begrænsning af dobbeltuddannelse, som indført i L69, lov om ændring af lov om adgangsregulering ved videregående uddannelser (begrænsning af dobbeltuddannelse) – eller bedre kendt som uddannelsesloftet.",Forslag om at afskaffe uddannelsesloftet!,5,,januar,NaN,,,72 days 00:00:00.000000000,272
1,1,2018-07-29,2018-01-30,"Lovforslaget går i sin enkelhed ud på, at sikre anbrinelsesstedet part i børne sagen når det anbragtebarn har været anbragt i familien i 2 år.",564,"Lovforslaget går i sin enkelhed ud på, at sikre anbrinelsesstedet part i børne sagen når det anbragtebarn har været anbragt i familien i 2 år.Og påtænkes det, at man vil flytte et anbragtbarn skal der udfærdiges en tilknytnings undersøgelse af uddannet psykolog.Samt høring af anbrinelses stedet samt af det anbragtebarn skal finde sted ved påtænket ændring af anbringelsessted, sker det ikke skal kommunerne straffes med bøder og erstatning til anbringelsesstedet.",POLITISK FORSLAG TIL HØRING I FOLKETINGET OM ÆNDRINGER AF ANBRAGTE BØRN OG PLEJEFAMILIERS RETTIGHEDER.,34,29.0,januar,2018,7.0,juli,68 days 00:00:00.000000000,465
2,2,2018-08-07,2018-02-08,Logningsbekendtgørelsen annulleres,538,Logningsbekendtgørelsen annulleres,Statens logningsbekendtgørelse skal annulleres,42,7.0,februar,2018,8.0,august,59 days 00:00:00.000000000,34
3,3,2018-07-29,2018-01-30,"Forslaget er at man automatisk giver førtidspension til personer der har været udsat for seksualt overgreb og/el. systematisk vold/tortur igennem opvækst, hvis de selv ønsker at få førtidspension.",59,"Forslaget er at man automatisk giver førtidspension til personer der har været udsat for seksualt overgreb og/el. systematisk vold/tortur igennem opvækst, hvis de selv ønsker at få førtidspension.Førtidspensionen skal tilbydes så snart der er faldet dom til fordel for forudrettede i sagen og inden en eventuel erstatning udbetales.",Automatisk førtidspension til personer der har været udsat for seksualt overgreb og/el. systematisk vold/tortur igennem opvækst,59,29.0,januar,2018,7.0,juli,68 days 00:00:00.000000000,332
4,4,2018-08-18,2018-02-19,"Det foreslås, at AM-bidraget (også kaldet bruttoskatten) på 8% gradvis afskaffes over de kommende 16 år, idet det sænkes med 0,5%-point om året, således at AM-bidraget i 2019 bliver 7,5%, i 2020 7%, i 2021 6,5% og så fremdeles.",111,"Det foreslås, at AM-bidraget (også kaldet bruttoskatten) på 8% gradvis afskaffes over de kommende 16 år, idet det sænkes med 0,5%-point om året, således at AM-bidraget i 2019 bliver 7,5%, i 2020 7%, i 2021 6,5% og så fremdeles.",AM-bidraget skal afskaffes,62,18.0,februar,2018,8.0,august,48 days 00:00:00.000000000,227
5,5,2018-08-11,2018-02-12,"Psykofarmaka er fællesbetegnelsen for en række produkter, der påvirker hjernen og centralnervesystemet. Der er tale om antidepressiver, antipsykotiske midler og midler til børn af typen methylphenidat.",239,"Psykofarmaka er fællesbetegnelsen for en række produkter, der påvirker hjernen og centralnervesystemet. Der er tale om antidepressiver, antipsykotiske midler og midler til børn af typen methylphenidat.Alle midlerne har en stærk påvirkning af hjernen mod en lang række sygdomme, som der ikke er dokumentation på, da det aldrig er videnskabeligt bevist, hvad der forårsager psykiske lidelser.I årevis er midlerne blevet udskrevet til højre og venstre under påberåbelse af, at de ikke skader, og at der ikke er alvorlige bivirkninger ved dem. Til trods for at en enkelt medicinsk database som eksempelvis Pubmed i begyndelsen af 2018 har registreret 808 sider med 16.157 videnskabelige undersøgelser af bivirkninger og skader på grund af bare antidepressiver, mens der i samme medicinske database er registreret 1.897 sider med 37.925 videnskabelige undersøgelser af bivirkninger og skader på grund af antipsykotiske midler.Der er altså tale om meget stærke midler, der i årevis er blevet udskrevet stik imod deres anvendelsesmuligheder mod diffuse ikke videnskabelige dokumenterede sygdomme, hvilket har medført mange lidelser, lemlæstelser og død.Det henstilles derfor til, at folketinget forsyner disse midler med restriktioner for anvendelsen. Som led i restriktion kan der eventuelt indføres samtykke erklæring for især antidepressiver, som er det præparat, der hyppigst bliver udskrevet imod sine anvendelsesformål, og som har meget alvorlige bivirkninger.",Restriktioner på psykofarmaka,66,11.0,februar,2018,8.0,august,55 days 00:00:00.000000000,1459
6,6,2018-07-29,2018-01-30,"Folketinget pålægger regeringen at genindføre en paragraf i indfødsretsloven, der giver unge mennesker uden dansk statsborgerskab, som er født og opvokset i Danmark, og som opfylder en række betingelser, mulighed for at opnå dansk statsborgerskab ved afgivelse af en erklæring overfor en myndighed, f.eks. statsforvaltningen.",4669,"Folketinget pålægger regeringen at genindføre en paragraf i indfødsretsloven, der giver unge mennesker uden dansk statsborgerskab, som er født og opvokset i Danmark, og som opfylder en række betingelser, mulighed for at opnå dansk statsborgerskab ved afgivelse af en erklæring overfor en myndighed, f.eks. statsforvaltningen.","Statsborgerskab til unge mennesker, som er født og opvokset i Danmark - indfødsret ved erklæringsafgivelse",67,29.0,januar,2018,7.0,juli,68 days 00:00:00.000000000,325
7,7,2018-08-18,2018-02-19,Formålet med fredningen er at standse opdrætning af slagtedyr og forsyning af levende dyr til slagteri-industri som bliver slået ihjel med henblik på kødproduktion.,333,"Formålet med fredningen er at standse opdrætning af slagtedyr og forsyning af levende dyr til slagteri-industri som bliver slået ihjel med henblik på kødproduktion.Dyreværnslovens paragraffer forbyder reelt kødproduktion men paradoksalt eksistere bekendtgørelsen om slagtning og aflivning af dyr. Dette resultere i at der opstår et logisk og etisk dilemma, fordi, hvorledes kan en dyreværnslov håndhæves, når en kontradiktorisk lov tillader dyr at dræbes såfremt det sker på et slagteri? Dette er ulogisk og uetisk. Det bør være forbudt at dræbe dyr med henblik på profit hvor end det finder sted, og samtidig bør det ikke være tilladt, eftersom dette resultere i et etisk og logisk dilemma.Her er et eksempel de to første paragraffer fra bekendtgørelsen af dyreværnsloven og bekendtgørelsen om slagtning og aflivning af dyr.Bekendtgørelse af dyreværnsloven§ 1. Dyr er levende væsener og skal behandles forsvarligt og beskyttes bedst muligt mod smerte, lidelse, angst, varigt men og væsentlig ulempe.Bekendtgørelse om slagtning og aflivning af dyr.§ 1. Reglerne i denne bekendtgørelse finder anvendelse på slagtning og aflivning af dyr, der avles eller holdes med henblik på fremstilling af fødevarer, uld, skind, pelsværk og andre produkter.Disse to paragraffer kan logisk set og etisk set, ikke eksistere samtidig som lovgivning. Dyr er ifølge dyreværnsloven § 1 ikke fødevare, men ""..levende væsner.."" og således er der intet fundament for en lov der sanktionere industri bestående af drab og slagtning af dyr. Krænkelse af dyrs eksistens bør medføre straf som også er beskrevet i dyreværnsloven, derfor bør alt lovgivning som tillader opdrætning af slagtekvæg, drab og slagtning af dyr, omgående afskæres fra Dansk lov. Fredning af dyr og kriminalisering af opdræt af slagtekvæg og slagtedyr generelt, er nødvendig for at etablere en komplet etisk lov og situation. Slagteri-industri er etisk uforsvarlig og er en ondskab som etiske mennesker og etisk lov ikke kan tolerere.",Fredning af dyr skal standse slagteri-industri,72,18.0,februar,2018,8.0,august,48 days 00:00:00.000000000,1978
8,8,2018-08-11,2018-02-12,"Jeg foreslår, at det forbydes lastbiler, busser mv. at overhale på motorvejen. Der skal ikke kun på udvalgte strækninger i et vist tidsrum være et forbud for lastbiler at overhale. På strækninger med 3 kørebaner kunne der gælde overhalingsforbud i myldretiden. På strækninger med kun 2 kørebaner bør der være totalt overhalingsforbud for kørtøjer.",207,"Jeg foreslår, at det forbydes lastbiler, busser mv. at overhale på motorvejen. Der skal ikke kun på udvalgte strækninger i et vist tidsrum være et forbud for lastbiler at overhale. På strækninger med 3 kørebaner kunne der gælde overhalingsforbud i myldretiden. På strækninger med kun 2 kørebaner bør der være totalt overhalingsforbud for kørtøjer.",Elefantræs på motorvejen,73,11.0,februar,2018,8.0,august,55 days 00:00:00.000000000,347
9,9,2018-08-21,2018-02-22,Udskrive et valg med henblik på udmeldelse af Den Europæiske Union.,216,Udskrive et valg med henblik på udmeldelse af Den Europæiske Union.,Udskrive valg med henblik på udmeldelse af Den Europæiske Union.,76,21.0,februar,2018,8.0,august,45 days 00:00:00.000000000,67
